variant,task,seed,readout,beta_pi,lambda_pi,gamma,effective_gamma,nominal_gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
base_amplitude_rxzz,mackey_glass,54,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
base_amplitude_rxzz,narma10,54,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
base_amplitude_rxzz,sunspots_annual,54,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.002162684467963,1.0148971142679226,1e-05
base_amplitude_rxzz,lorenz,55,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,55,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,55,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
base_amplitude_rxzz,sunspots_annual,55,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.001731101289704,1.0161651908770528,1e-07
base_amplitude_rxzz,lorenz,56,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110075,1.0026944750194424,1e-08
base_amplitude_rxzz,mackey_glass,56,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,56,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280843,1.0273510422713823,1e-08
base_amplitude_rxzz,sunspots_annual,56,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0023458437969426,1.014411873385351,1e-07
base_amplitude_rxzz,lorenz,57,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
base_amplitude_rxzz,mackey_glass,57,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
base_amplitude_rxzz,narma10,57,Z+ZZ,0.0,0.05,0.12,0.12,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
